the barber shop again arthur scott bailey.txt, 16.47, 21.73, 23.05, 19.36, 18.18, 16.34, 18.53, 13.90, 16.14, 23.70
the beetle h c andersen.txt, 89.95, 75.51, 80.11, 81.84, 74.65, 77.51, 86.29, 78.73, 80.67, 83.21
the bell deep h c andersen.txt, 28.53, 40.76, 32.89, 33.12, 30.67, 34.32, 29.61, 29.68, 26.24, 31.04
the blue light brothers grimm.txt, 40.45, 40.69, 41.21, 40.94, 44.16, 42.72, 47.83, 44.27, 46.70, 39.38
the bond of friendship h c andersen.txt, 93.54, 90.48, 89.99, 88.74, 92.90, 96.50, 86.49, 100.7, 87.23, 77.52
the boots of buffalo leather brothers grimm.txt, 38.70, 34.02, 37.25, 34.96, 31.43, 38.08, 45.94, 37.73, 37.42, 36.54
the bottle neck h c andersen.txt, 105.5, 127.7, 125.2, 119.8, 109.0, 116.0, 128.7, 113.5, 106.9, 108.1
the boy who had a moon on his forehead and a star on his chin indian writer.txt, 162.1, 195.7, 185.1, 171.2, 181.9, 196.8, 189.9, 180.4, 199.0, 181.6
the bremen town musicians brothers grimm.txt, 34.00, 33.33, 28.46, 33.99, 33.77, 31.10, 32.61, 33.14, 31.27, 23.98
the bright sun brings it to light brothers grimm.txt, 13.47, 13.41, 13.88, 16.49, 21.82, 13.25, 9.410, 13.68, 16.04, 15.76
the broken pot indian writer.txt, 9.001, 7.658, 9.802, 8.773, 12.49, 11.90, 11.50, 10.17, 7.667, 10.10
the bucking tub la fontain.txt, 18.32, 17.37, 18.95, 19.11, 19.63, 17.19, 22.37, 21.26, 17.92, 19.43
the butterfly h c andersen.txt, 23.92, 20.50, 23.87, 27.42, 23.23, 26.07, 25.82, 23.46, 26.95, 25.42
the case of conscience la fontain.txt, 32.08, 28.87, 34.65, 31.03, 28.58, 31.53, 22.72, 29.99, 36.12, 27.42
the charmed ring indian writer.txt, 73.37, 81.39, 76.31, 86.60, 81.18, 82.99, 81.52, 68.48, 72.38, 71.58
the child in the grave h c andersen.txt, 52.46, 45.21, 45.72, 53.78, 48.42, 46.15, 50.55, 42.50, 43.67, 51.37
the clyster la fontain.txt, 25.15, 26.97, 24.92, 26.35, 27.57, 27.59, 23.16, 24.07, 22.69, 19.10
the cobbler la fontain.txt, 12.22, 9.789, 13.09, 13.82, 8.670, 12.76, 11.06, 10.53, 11.03, 14.82
the contract la fontain.txt, 25.70, 29.58, 28.94, 33.57, 29.37, 29.18, 28.98, 27.07, 23.84, 26.06
the convent gardener of lamporechio la fontain.txt, 45.94, 52.50, 41.93, 46.44, 39.75, 43.81, 44.64, 45.44, 45.39, 49.99
the country justice la fontain.txt, 2.968, 4.187, 3.923, 3.613, 2.573, 2.712, 3.890, 4.484, 3.981, 1.988
the countryman who sought his calf la fontain.txt, 3.171, 2.584, 5.092, 4.035, 6.471, 5.102, 4.571, 4.730, 4.718, 4.020
the cradle la fontain.txt, 50.64, 44.67, 36.59, 41.76, 43.04, 39.84, 42.71, 42.73, 36.75, 41.38
the cruel crane outwitted indian writer.txt, 27.82, 26.12, 25.97, 24.43, 27.17, 20.51, 22.66, 23.28, 18.05, 23.42
the crumbs on the table brothers grimm.txt, 5.244, 5.192, 5.003, 4.883, 4.860, 4.964, 3.701, 3.841, 3.641, 4.787
the crystal ball brothers grimm.txt, 32.58, 25.66, 25.21, 26.67, 25.38, 27.01, 26.65, 26.02, 27.81, 29.33
the cudgelled and contented cuckold la fontain.txt, 37.39, 39.79, 34.97, 37.43, 33.25, 35.31, 35.18, 32.20, 30.45, 37.93
the cunning little tailor brothers grimm.txt, 31.15, 32.36, 35.92, 32.90, 29.54, 26.22, 29.70, 24.75, 35.54, 31.46
the death of the little hen brothers grimm.txt, 14.63, 12.41, 18.56, 19.97, 17.29, 13.01, 14.24, 13.66, 16.32, 12.12
the demon with the matted hair indian writer.txt, 36.70, 37.36, 31.07, 28.70, 24.30, 27.54, 29.06, 29.94, 35.00, 36.03
the devil and his grandmother brothers grimm.txt, 30.78, 30.06, 32.10, 38.43, 31.09, 30.63, 35.37, 32.79, 37.97, 27.07
the devil in hell la fontain.txt, 43.16, 52.61, 51.65, 50.97, 41.55, 47.72, 38.82, 45.09, 48.48, 48.07
the devil of pope fig island la fontain.txt, 43.03, 39.01, 41.44, 45.26, 40.97, 40.69, 41.79, 36.07, 36.70, 35.02
the devil s sooty brother brothers grimm.txt, 29.38, 31.11, 32.96, 30.56, 34.93, 30.32, 27.90, 28.66, 28.59, 33.07
the devil with the three golden hairs brothers grimm.txt, 64.62, 67.14, 62.25, 69.08, 61.28, 70.36, 59.74, 70.57, 67.09, 64.69
the ditmarsch tale of wonders brothers grimm.txt, 5.833, 4.202, 5.688, 4.774, 6.396, 5.205, 7.659, 6.337, 6.407, 5.346
the dog and the sparrow brothers grimm.txt, 28.77, 30.52, 30.78, 27.96, 27.01, 23.69, 27.65, 30.84, 24.45, 25.32
the donkey brothers grimm.txt, 35.29, 39.40, 36.37, 29.25, 29.62, 33.09, 34.30, 30.71, 36.09, 28.82
the dress maker la fontain.txt, 5.954, 4.171, 7.394, 8.109, 6.897, 2.579, 1.943, 4.945, 5.243, 5.616
the drummer brothers grimm.txt, 99.57, 85.84, 93.29, 109.3, 99.55, 98.98, 95.08, 112.0, 107.5, 106.1
the dumb book h c andersen.txt, 18.54, 21.34, 19.08, 17.10, 18.70, 19.51, 16.58, 22.64, 19.31, 18.88
the duration of life brothers grimm.txt, 15.61, 18.50, 16.15, 16.36, 17.31, 18.04, 16.50, 12.58, 23.53, 16.48
the ear maker and the mould mender la fontain.txt, 41.08, 47.29, 46.67, 45.12, 46.29, 45.59, 42.18, 45.75, 50.53, 47.62
the ear of corn brothers grimm.txt, 4.241, 6.686, 5.714, 5.794, 6.631, 5.253, 5.672, 6.592, 5.283, 4.451
the eel pie la fontain.txt, 34.05, 33.67, 27.91, 29.89, 27.02, 21.45, 28.80, 30.61, 38.31, 29.55
the elves brothers grimm.txt, 28.35, 30.83, 31.47, 32.40, 33.24, 33.03, 34.12, 34.65, 32.95, 29.78
the ephesian matron la fontain.txt, 42.24, 44.61, 41.31, 37.65, 40.71, 45.11, 42.66, 51.04, 39.53, 45.71
the falcon la fontain.txt, 52.12, 56.38, 58.23, 55.46, 64.82, 53.81, 53.11, 56.69, 55.19, 53.41
the farmer and the badger japanese writer.txt, 94.26, 88.86, 96.15, 91.03, 88.56, 99.14, 91.30, 88.92, 93.92, 88.72
the farmyard cock and the weathercock h c andersen.txt, 22.13, 20.85, 22.31, 29.79, 23.12, 21.38, 20.40, 24.41, 17.68, 16.32
the fifth voyage of sinbad the sailor arabian writer.txt, 55.16, 51.66, 47.38, 50.54, 47.55, 49.34, 53.28, 58.98, 51.49, 54.60
the first voyage of sinbad the sailor arabian writer.txt, 43.01, 46.91, 46.48, 49.23, 47.39, 52.66, 49.40, 40.53, 47.99, 47.91
the fisherman and his wife brothers grimm.txt, 77.09, 86.61, 83.28, 87.79, 82.59, 71.67, 85.00, 79.97, 84.51, 76.96
the flail from heaven brothers grimm.txt, 9.471, 9.806, 8.509, 9.258, 10.63, 8.635, 9.373, 7.754, 10.75, 6.635
the four skilful brothers brothers grimm.txt, 45.48, 39.52, 45.85, 49.24, 43.75, 48.01, 47.82, 36.96, 44.91, 41.31
the fourth voyage of sinbad the sailor arabian writer.txt, 94.15, 85.18, 92.71, 86.90, 90.39, 88.58, 79.07, 68.06, 83.52, 87.40
the fox and his cousin brothers grimm.txt, 8.722, 10.92, 10.34, 13.09, 9.373, 9.736, 9.253, 10.29, 7.712, 10.80
the fox and the cat brothers grimm.txt, 6.110, 6.576, 10.05, 4.185, 7.970, 8.593, 7.871, 8.095, 6.357, 8.577
the fox and the geese brothers grimm.txt, 5.050, 6.298, 5.749, 7.073, 8.769, 3.772, 6.541, 5.472, 4.898, 8.536
the fox and the horse brothers grimm.txt, 11.74, 11.37, 13.80, 12.36, 10.87, 11.54, 9.547, 13.06, 11.77, 10.15
the frog king or iron henry brothers grimm.txt, 41.41, 30.32, 35.08, 34.59, 32.20, 31.43, 35.80, 32.84, 43.32, 37.94
the gascon la fontain.txt, 6.839, 6.622, 7.372, 6.485, 8.837, 4.635, 8.921, 6.649, 8.952, 5.466
the gascon punished la fontain.txt, 25.18, 21.97, 21.01, 23.49, 25.01, 17.35, 17.42, 18.75, 20.14, 20.20
the giant and the tailor brothers grimm.txt, 16.00, 19.37, 16.95, 20.45, 13.50, 18.85, 18.39, 16.51, 19.53, 17.47
