hans in luck brothers grimm.txt, 0.3811, 0.4157, 1.000, 0.2250, 0.7095, 0.4557, 0.4991, 0.1704, 0.08926, 0.000
hans married brothers grimm.txt, 0.7682, 0.3075, 0.8125, 1.000, 0.4014, 0.6272, 0.6337, 0.2766, 0.3546, 0.000
hans the hedgehog brothers grimm.txt, 0.5801, 0.2495, 0.6713, 0.7966, 0.4230, 1.000, 0.000, 0.2083, 0.4692, 0.9078
hansel and grethel brothers grimm.txt, 0.07442, 0.7323, 0.8890, 1.000, 0.6418, 0.5234, 0.7638, 0.2234, 0.000, 0.5726
harisaman indian writer.txt, 0.7306, 0.2507, 0.3330, 0.2853, 0.5895, 0.000, 0.03039, 0.6229, 1.000, 0.3330
herr korbes brothers grimm.txt, 1.000, 0.5464, 0.6679, 0.000, 0.3526, 0.3257, 0.8021, 0.5887, 0.07985, 0.3211
how an old man lost his wen japanese writer.txt, 0.3287, 0.2862, 0.5800, 0.3582, 0.1860, 0.1089, 1.000, 0.02774, 0.000, 0.1303
how six men got on in the world brothers grimm.txt, 0.4382, 1.000, 0.08890, 0.9364, 0.000, 0.5966, 0.5842, 0.7172, 0.6355, 0.3584
how sun moon and wind went out to dinner indian writer.txt, 0.000, 0.8052, 0.8737, 0.4574, 0.3055, 0.5192, 0.4333, 0.4051, 0.1425, 1.000
how the raja s son won the princess labam indian writer.txt, 0.4681, 0.000, 0.2045, 0.3216, 0.9734, 0.8315, 1.000, 0.5448, 0.2740, 0.4827
how the wicked sons were duped indian writer.txt, 0.4314, 0.003931, 0.6905, 0.1934, 0.000, 0.5525, 0.4646, 0.8238, 1.000, 0.3771
ib and christine h c andersen.txt, 0.8572, 0.5053, 0.000, 0.3339, 1.000, 0.4052, 0.9154, 0.9425, 0.8654, 0.6870
in the duck yard h c andersen.txt, 0.4962, 0.3452, 1.000, 0.8739, 0.6773, 0.8134, 0.8260, 0.09081, 0.4537, 0.000
in the uttermost parts of the sea h c andersen.txt, 0.1413, 0.7737, 0.6674, 0.5203, 0.4785, 1.000, 0.6058, 0.7990, 0.000, 0.4904
indianfairytales the boy who had a moon on his forehead and a star on his chin indian writer.txt, 0.000, 0.9120, 0.6253, 0.2471, 0.5376, 0.9426, 0.7533, 0.4968, 1.000, 0.5295
iron john brothers grimm.txt, 0.1377, 0.7312, 0.5592, 0.000, 0.7094, 0.1273, 0.6629, 0.4882, 0.9702, 1.000
jack the dullard an old story told anew h c andersen.txt, 1.000, 0.5552, 0.4905, 0.07192, 0.1162, 0.4646, 0.5292, 0.000, 0.3724, 0.5151
jasper jay tells some news arthur scott bailey.txt, 0.9236, 0.5772, 0.6417, 0.6676, 0.4360, 0.2839, 0.000, 0.6844, 1.000, 0.5564
joconde la fontain.txt, 0.7644, 0.2265, 0.2722, 0.000, 0.6558, 0.6345, 1.000, 0.03397, 0.6312, 0.6780
johnnie green is disappointed arthur scott bailey.txt, 0.1903, 0.000, 0.9256, 0.9254, 0.6291, 0.6862, 0.07365, 0.7066, 0.02674, 1.000
johnnie green loses his pet arthur scott bailey.txt, 0.8224, 0.2186, 0.2095, 0.07573, 0.3856, 0.4795, 0.000, 1.000, 0.1792, 0.6610
jorinda and joringel brothers grimm.txt, 0.03310, 1.000, 0.2949, 0.5232, 0.5734, 0.1862, 0.000, 0.5762, 0.2733, 0.3249
king candaules and the doctor of laws la fontain.txt, 1.000, 0.6409, 0.3970, 0.9509, 0.6079, 0.5283, 0.7645, 0.3089, 0.3047, 0.000
king thrushbeard brothers grimm.txt, 0.2420, 0.2080, 0.1529, 0.000, 0.8674, 0.4270, 0.07191, 1.000, 0.6964, 0.7514
knoist and his three sons brothers grimm.txt, 0.000, 0.4312, 0.03052, 0.1570, 0.2224, 0.5945, 0.01819, 1.000, 0.3783, 0.4695
lazy harry brothers grimm.txt, 0.5889, 0.7681, 0.6066, 0.1606, 1.000, 0.02150, 0.3199, 0.6708, 0.000, 0.4021
lean lisa brothers grimm.txt, 0.5070, 0.8371, 0.6682, 0.6873, 0.9555, 1.000, 0.4385, 0.7506, 0.1043, 0.000
little brother and little sister brothers grimm.txt, 1.000, 0.8467, 0.5036, 0.1520, 0.000, 0.2060, 0.4461, 0.9291, 0.4370, 0.5749
little red cap brothers grimm.txt, 0.9518, 0.1283, 0.6853, 0.9474, 1.000, 0.000, 0.7084, 0.4060, 0.5527, 0.1330
little snow white brothers grimm.txt, 0.2171, 0.5750, 1.000, 0.9312, 0.3261, 0.1669, 0.000, 0.3792, 0.3639, 0.2227
loving laili indian writer.txt, 0.6230, 0.1852, 0.05863, 0.6135, 0.3053, 0.3513, 1.000, 0.4601, 0.09175, 0.000
maid maleen brothers grimm.txt, 0.9600, 0.8752, 1.000, 0.7915, 0.3876, 0.7110, 0.000, 0.02117, 0.4410, 0.8923
master pfriem master cobbler s awl brothers grimm.txt, 0.03706, 0.6007, 0.4303, 0.1995, 0.5209, 0.000, 0.3830, 0.6268, 0.4611, 1.000
momotaro or the story of the son of a peach japanese writer.txt, 1.000, 0.4208, 0.8281, 0.2679, 0.1961, 0.000, 0.2477, 0.4926, 0.2232, 0.4464
mother holle brothers grimm.txt, 0.5311, 0.2568, 0.4019, 1.000, 0.5679, 0.7067, 0.6516, 0.000, 0.5011, 0.5128
mrs. tiggy winkle s beatrix potter.txt, 0.2432, 0.06126, 0.8789, 0.9885, 1.000, 0.000, 0.5070, 0.9262, 0.9622, 0.3866
my lord bag of rice japanese writer.txt, 0.3880, 0.4885, 0.000, 0.5239, 0.9860, 0.2418, 0.7579, 0.8407, 0.6957, 1.000
